;кто;текст;кому;контекст;уровень;post
2474;607799076;"[id322706474|Валера], ты права😔🌈

Dynnnnnanana, life is dynamite
Dynnnnnanana, life is dynamite
Shining through the city with a little funk and soul
So I’mma light it up like dynamite, woah";322706474;[id607799076|Icy], конченая армуха. в очередной раз опозорила свой мерзкий фандом;2;5071808
2475;610183009;[id607799076|Icy], милая собачка;607799076;"[id597824975|Даниэль], нет. ...моя собака против...
Куда-то уходить..";2;5071808
2476;413905567;Легендарный бестселлер, все любим, обожаем, ценим и стримим периодически! Заслуживает минимум бриллиантовую сертификацию!;post;post;1;5071808
2477;598219727;[id413905567|放棄された], дада вотвот;413905567;Легендарный бестселлер, все любим, обожаем, ценим и стримим периодически! Заслуживает минимум бриллиантовую сертификацию!;2;5071808
2478;548060647;[id413905567|放棄された], бестселлер сдох спустя 3 месяца после релиза...;413905567;Легендарный бестселлер, все любим, обожаем, ценим и стримим периодически! Заслуживает минимум бриллиантовую сертификацию!;2;5071808
2479;478722039;[id548060647|Zachary], до сих пор в топ 95 бб 200 еблан захахахахах и ни разу не покидал 200;548060647;[id413905567|放棄された], бестселлер сдох спустя 3 месяца после релиза...;2;5071808
2480;548060647;"[id478722039|Михаил], бл, достижение ахахха
Это ее пик, а альбом спустя 1,5 года за пределами топ20";478722039;[id548060647|Zachary], до сих пор в топ 95 бб 200 еблан захахахахах и ни разу не покидал 200;2;5071808
2481;601317621;королева.;post;post;1;5071808
2482;413905567;Селене никогда в жизни не достичь подобного что коммерческого что качественного успеха;post;post;1;5071808
2483;598219727;[id413905567|放棄された], фактфакт;413905567;Селене никогда в жизни не достичь подобного что коммерческого что качественного успеха;2;5071808
2484;606844562;[id413905567|放棄された], эм и причем тут селена;413905567;Селене никогда в жизни не достичь подобного что коммерческого что качественного успеха;2;5071808
2485;610183009;[id413905567|放棄された], соколовская щас прибежит;413905567;Селене никогда в жизни не достичь подобного что коммерческого что качественного успеха;2;5071808
2486;175380854;[id610183009|Cloudy], оруу ты кто;610183009;[id413905567|放棄された], соколовская щас прибежит;2;5071808
2487;175380854;[id610183009|Cloudy], и почему ты меня постоянно упоминаешь;610183009;[id413905567|放棄された], соколовская щас прибежит;2;5071808
2488;606844562;[id175380854|Мария], одержим тобой;175380854;[id610183009|Cloudy], и почему ты меня постоянно упоминаешь;2;5071808
2489;175380854;[id606844562|Rare], 👀;606844562;[id175380854|Мария], одержим тобой;2;5071808
2490;610183009;[id606844562|Rare], ржу;606844562;[id175380854|Мария], одержим тобой;2;5071808
2491;606844562;[id610183009|Cloudy], ржи;610183009;[id606844562|Rare], ржу;2;5071808
2492;610183009;[id606844562|Rare],;606844562;[id610183009|Cloudy], ржи;2;5071808
2493;175380854;[id610183009|Cloudy], вот это я понимаю одержимость;610183009;[id606844562|Rare],;2;5071808
2494;606844562;[id175380854|Мария], оруууууууу;175380854;[id610183009|Cloudy], вот это я понимаю одержимость;2;5071808
2495;175380854;Слился, что и следовало ожидать🥂;610183009;[id606844562|Rare],;2;5071808
2496;610183009;[id175380854|Мария], ты просто мой кумир просто;175380854;[id610183009|Cloudy], вот это я понимаю одержимость;2;5071808
2497;175380854;[id610183009|Cloudy], ска как мило🥺😭;610183009;[id175380854|Мария], ты просто мой кумир просто;2;5071808
2498;610183009;[id175380854|Мария], ору и где я слился;175380854;Слился, что и следовало ожидать🥂;2;5071808
2499;610183009;[id175380854|Мария], ладно не буду спорить с кумиром;175380854;[id610183009|Cloudy], ска как мило🥺😭;2;5071808
2500;175380854;[id610183009|Cloudy], ты просто так долго не отвечал, я уж думала что-то случилось:(;610183009;[id175380854|Мария], ору и где я слился;2;5071808
